,mileage,s_max,s_min
765,33.09844807,1,-0.845985611
766,34.13867235,1,-1
767,22.9124765,1,-1
768,30.45633131,1,-1
769,33.44592173,1,-1
770,34.06178587,1,-1
771,31.1083894,1,-1
772,31.40972521,0.958431082,-1
773,29.83445683,1,-1
774,31.15778639,1,-1
775,27.2899511,1,-1
776,22.55757956,1,-1
777,28.37337506,1.005262434,-1
778,27.71683216,1.000827454,-1
779,33.08704919,0.916154355,-1
780,30.01646043,1,-1
781,33.60700358,1,-0.99980916
782,29.08918166,0.994202965,-0.915356035
783,29.70708987,1,-1
784,37.97020089,1,-1.00195752
785,31.46758986,0.940032957,-1
786,26.86605456,1,-1.000809507
787,35.86035197,1,-1
788,33.38744251,1,-1
789,32.67713475,1,-1
790,24.87567402,1,-1
791,28.98636539,1,-1
792,27.81645203,1,-1
793,32.40664919,1,-0.972765307
794,31.23360038,1,-1
795,32.8325591,1,-1
796,36.41215138,1,-1
797,34.50804486,1,-1
798,35.61752476,1,-1
799,35.17439138,1,-0.917290452
800,31.6365163,1,-1
801,26.94204777,1.023449948,-1
802,32.0100698,0.8304015,-0.823617483
803,32.59110062,1,-0.99999998
804,32.18787973,1,-1
805,32.01616772,1,-1
806,37.81931623,1,-1
807,33.16292135,1,-1
808,34.63188214,1,-1
809,30.21485163,1,-1.052265377
810,24.46085116,1,-1.042995999
811,34.78879207,1,-0.933849094
812,35.01072157,1,-1.000745765
813,30.24199681,1,-1
814,32.31258888,1,-1
815,25.18384077,1,-1
816,30.61859829,1,-1
817,34.87496201,1.003385836,-1
818,33.33893192,1,-1
819,33.00426546,1,-1
820,30.84911305,1,-1
821,29.56437023,1.005294349,-1
822,31.29218985,1,-1.001078976
823,29.58245898,1,-1.000624718
824,26.36359806,0.828933687,-1
825,35.4219042,1,-1
826,31.46862027,1.027311833,-0.99999999
827,32.95806694,1,-1
828,33.52951816,1,-1
829,30.10042334,1,-1
830,27.35067588,1,-0.94033908
831,31.70814423,1.005604188,-1
832,25.09290525,1,-1.00645747
833,20.5910436,1,-1
834,29.01727731,0.792357374,-1
835,34.74240687,0.890633407,-1
836,32.29321035,1,-1
837,33.75683834,1,-1
838,31.34763878,1,-1
839,32.34377728,1,-1
840,32.41314223,1,-1
841,33.93727466,1,-1
842,32.74696218,1.020005147,-1
843,33.45881285,1,-1
844,32.25287859,1.001184081,-1
845,26.73939746,1,-1
846,25.52938655,1,-1
847,32.77145169,1,-1
848,39.63339589,1,-1
849,31.50312428,1.039717905,-0.999999986
850,36.67747431,0.999938201,-1
851,34.26838846,1,-1
852,30.52166399,1,-1
853,22.85435847,1,-1
854,25.98956338,1,-1.000092942
855,28.89920151,1,-0.729928355
856,31.02916877,1,-1
857,31.38680668,1.006970787,-1.026527521
858,23.89232205,1,-1
859,29.45817805,1,-1
860,37.5001664,1.001456879,-1
861,33.29825895,0.864555275,-1
862,29.53826825,1,-1
863,28.54886016,1.000337404,-1
864,26.00125576,1,-1
865,29.12427798,1,-1
866,29.37118574,1,-1
867,26.35952561,0.963333613,-1
868,33.26595592,1,-1
869,28.24693295,1.005128592,-1
870,18.44373556,1,-1
871,34.65988808,1.00250126,-1
872,37.59456149,1,-1
873,35.94981737,1,-1
874,32.04217002,1,-1.000268899
875,15.14907233,1,-1
876,24.91525494,1,-1.00124705
877,38.39251608,1,-0.960666827
878,37.61061585,1,-1
879,39.9910088,1,-1
880,37.90819443,1,-1
881,22.45182404,1,-1
882,25.38988084,1,-1
883,36.75117687,1,-1.004275223
884,27.83331621,1,-1
885,25.94964204,1,-1
886,33.15211173,1,-1
887,30.56916159,1,-0.912066556
888,33.01411556,1,-1
889,38.00410556,1,-1
890,33.82702283,1,-1
891,33.89474375,1,-1
892,33.33592293,1,-1
893,27.34547162,1,-1
894,33.71303181,1,-1.012538438
895,25.59318577,1,-1
896,42.2006013,1,-1
897,32.81176126,1,-1
898,34.51484302,1,-1
899,25.55410106,1,-1
